,main_temp,main_pressure,No.24_temp
109,135.0,-13.758,463.0
110,135.0,-13.763,469.0
111,134.0,-13.763,473.0
112,136.0,-13.817,471.0
113,134.0,-13.827,462.0
114,136.0,-13.846,461.0
115,136.0,-13.871,447.0
116,135.0,-13.88,449.0
117,136.0,-13.88,458.0
118,134.0,-13.836,462.0
119,136.0,-13.841,464.0
120,135.0,-13.827,462.0
121,137.0,-13.841,464.0
122,137.0,-13.851,463.0
123,136.0,-13.861,461.0
124,136.0,-13.846,466.0
125,137.0,-13.875,471.0
126,135.0,-13.871,468.0
127,137.0,-13.861,449.0
128,137.0,-13.875,445.0
129,137.0,-13.885,455.0
130,136.0,-13.939,465.0
131,135.0,-13.924,471.0
132,137.0,-13.929,475.0
133,137.0,-13.958,476.0
134,136.0,-13.949,478.0
135,137.0,-13.939,477.0
136,138.0,-13.939,470.0
137,135.0,-13.939,467.0
138,136.0,-13.944,470.0
139,136.0,-13.939,475.0
140,138.0,-13.929,475.0
141,138.0,-13.944,475.0
142,136.0,-13.939,476.0
143,137.0,-13.963,475.0
144,137.0,-13.958,472.0
145,137.0,-13.949,480.0
146,138.0,-13.949,484.0
147,137.0,-13.958,480.0
148,136.0,-13.9,476.0
149,138.0,-13.949,479.0
150,136.0,-13.954,483.0
151,136.0,-13.954,483.0
152,136.0,-13.963,479.0
153,138.0,-13.958,479.0
154,136.0,-13.949,477.0
155,137.0,-13.973,479.0
156,135.0,-13.978,484.0
157,135.0,-13.973,484.0
158,137.0,-13.988,483.0
159,135.0,-14.007,487.0
160,137.0,-14.007,491.0
161,135.0,-13.993,494.0
162,136.0,-13.958,492.0
163,135.0,-13.939,489.0
164,134.0,-13.949,491.0
165,135.0,-13.905,497.0
166,135.0,-13.885,498.0
167,135.0,-13.88,497.0
168,135.0,-13.9,497.0
169,135.0,-13.875,500.0
170,135.0,-13.851,498.0
171,134.0,-13.817,494.0
172,136.0,-13.836,487.0
173,136.0,-13.822,490.0
174,135.0,-13.812,490.0
175,134.0,-13.797,488.0
176,134.0,-13.783,485.0
177,133.0,-13.827,486.0
178,136.0,-13.812,489.0
179,136.0,-13.807,489.0
180,133.0,-13.807,486.0
181,134.0,-13.748,484.0
182,135.0,-13.783,485.0
183,135.0,-13.768,483.0
184,135.0,-13.748,480.0
185,135.0,-13.734,479.0
186,135.0,-13.753,478.0
187,136.0,-13.773,481.0
188,134.0,-13.768,476.0
189,134.0,-13.753,474.0
190,133.0,-13.758,477.0
191,133.0,-13.763,479.0
192,134.0,-13.773,476.0
193,133.0,-13.763,472.0
194,133.0,-13.758,472.0
195,132.0,-13.768,468.0
196,134.0,-13.773,464.0
197,134.0,-13.773,463.0
198,135.0,-13.763,462.0
199,135.0,-13.753,459.0
200,136.0,-13.768,458.0
201,133.0,-13.748,460.0
202,134.0,-13.734,458.0
203,134.0,-13.724,455.0
204,135.0,-13.734,454.0
205,136.0,-13.709,465.0
206,137.0,-13.714,472.0
207,136.0,-13.656,473.0
208,137.0,-13.651,462.0
209,137.0,-13.675,451.0
210,139.0,-13.641,456.0
211,139.0,-13.612,458.0
212,139.0,-13.612,458.0
213,140.0,-13.558,457.0
214,141.0,-13.499,460.0
215,141.0,-13.504,461.0
216,141.0,-13.514,468.0
217,142.0,-13.49,468.0
218,141.0,-13.47,467.0
219,141.0,-13.426,467.0
220,141.0,-13.426,469.0
221,144.0,-13.426,467.0
222,142.0,-13.407,462.0
223,144.0,-13.411,464.0
224,143.0,-13.392,472.0
225,145.0,-13.377,473.0
226,146.0,-13.392,469.0
227,144.0,-13.416,463.0
228,144.0,-13.421,462.0
229,146.0,-13.426,468.0
230,145.0,-13.436,472.0
231,146.0,-13.416,469.0
232,145.0,-13.446,466.0
233,146.0,-13.47,466.0
234,145.0,-13.46,463.0
235,144.0,-13.519,455.0
236,145.0,-13.538,447.0
237,144.0,-13.519,443.0
238,145.0,-13.499,435.0
239,145.0,-13.48,438.0
240,146.0,-13.485,439.0
241,146.0,-13.451,434.0
242,147.0,-13.368,427.0
243,145.0,-13.382,426.0
244,146.0,-13.387,421.0
245,144.0,-13.387,422.0
246,146.0,-13.368,428.0
247,146.0,-13.333,420.0
248,144.0,-13.338,415.0
249,145.0,-13.358,407.0
250,145.0,-13.475,402.0
251,143.0,-13.558,405.0
252,143.0,-13.582,417.0
253,145.0,-13.563,435.0
254,142.0,-13.607,449.0
255,142.0,-13.597,459.0
256,144.0,-13.621,464.0
257,143.0,-13.626,465.0
258,141.0,-13.631,466.0
259,141.0,-13.617,464.0
260,140.0,-13.651,457.0
261,142.0,-13.685,458.0
262,139.0,-13.709,462.0
263,139.0,-13.705,461.0
264,140.0,-13.714,456.0
