,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue,BRP,BTP
68,0.5877011968633925,0.0473792818819645,0.0633924886504333,0.2643829962855964,0.0371440363186132,5.773,738.38,2.401,147.0,796.0,515.263,64.7546153846142,87.68730505003151
69,0.5835284618490109,0.0470730722648364,0.0620104965684295,0.2707307226483649,0.036657246669358,5.773,748.311,2.399,149.0,787.0,518.193,69.33531342691447,86.24501409173538
70,0.5878688524590164,0.0468852459016393,0.0624590163934426,0.2668032786885245,0.035983606557377,5.762,740.904,2.403,146.0,780.0,520.147,69.18439263938824,87.3163885366057
72,0.5943034358932506,0.0468456704480535,0.0628417530400718,0.2597731167877254,0.0362360238308985,5.967,743.101,2.406,147.0,773.0,519.17,64.55161545629399,88.11995708729798
73,0.5875499062983784,0.0473396887476574,0.0632282245579727,0.2662755642467204,0.0356066161492707,6.066,755.393,2.414,147.0,777.0,523.077,66.40553284219911,87.49500499229539
74,0.5804953560371516,0.0477431970017924,0.0625712889033729,0.2735049698549779,0.0356851882027049,6.037,731.217,2.401,146.0,784.0,507.448,64.2868142903959,87.807472691688
75,0.5912041544952937,0.0464135021097046,0.0635345666991236,0.2625770853618955,0.0362706913339824,6.125,731.787,2.404,146.0,788.0,526.007,62.43765450894751,86.92680948849119
76,0.5905916352251745,0.0455968531749217,0.0620534639158706,0.2654732279039897,0.0362848197800433,5.908,759.788,2.404,145.0,797.0,512.332,68.54836963541848,86.0745018239673
77,0.5889720234222512,0.0478204294079375,0.063028627195836,0.2635816525699414,0.0365972674040338,5.993,740.985,2.36,143.0,796.0,503.541,69.00615993598494,86.75635061350427
78,0.5889720234222512,0.0478204294079375,0.063028627195836,0.2635816525699414,0.0365972674040338,5.993,740.985,2.36,143.0,796.0,503.541,69.00615993598494,86.75635061350427
79,0.5825718015665796,0.045936684073107,0.0648661879895561,0.2699902088772846,0.0366351174934725,6.198,736.182,2.359,144.0,804.0,511.355,67.54440376586393,87.28661193472553
80,0.5864071317575856,0.0471088574466344,0.0649382514108121,0.2644966058722499,0.0370491535127177,6.198,767.928,2.349,144.0,810.0,496.703,69.9076827370323,86.10611620337114
81,0.5844897959183672,0.0476734693877551,0.0636734693877551,0.2676734693877551,0.0364897959183673,6.179,742.369,2.356,144.0,813.0,517.216,70.21042707366713,86.5227751828866
82,0.5943297727090194,0.0458597702995743,0.0632880893100955,0.2598988033089712,0.0366235643723395,6.092,762.8,2.353,145.0,812.0,498.657,71.67819972448716,86.58591235268423
83,0.583904109589041,0.0468851924331376,0.0636007827788649,0.2689986953685584,0.0366112198303979,6.297,750.427,2.359,143.0,800.0,510.379,70.07093160723679,88.03846895260234
84,0.583122500612095,0.0466824451154819,0.0633314290377866,0.2707092140700237,0.0361544111646127,6.07,748.718,2.355,144.0,805.0,497.68,68.95563422128373,88.8108188158001
86,0.5926197458455523,0.0470837406321277,0.0607689801238188,0.2633594004561747,0.0361681329423264,6.011,729.263,2.355,145.0,807.0,509.402,69.5684741611978,87.18250458048628
87,0.5903318312167145,0.0467021712412945,0.0615321589512494,0.2655469070053257,0.0358869315854158,5.722,737.973,2.349,144.0,799.0,508.425,72.14545207362974,86.66167531300951
90,0.5965040650406505,0.0460162601626016,0.0634959349593495,0.2573983739837399,0.0365853658536585,6.297,768.335,2.358,145.0,807.0,515.263,68.70316186629589,88.95335948158254
92,0.5869030034465781,0.0477597242737567,0.0635155096011816,0.2644017725258493,0.0374199901526341,6.264,751.079,2.36,143.0,825.0,524.054,66.25032734956115,88.24498612618702
93,0.5875572269457161,0.0470896010464355,0.0629496402877697,0.2658600392413341,0.0365434924787442,6.337,744.078,2.356,144.0,834.0,523.077,67.80393762711478,86.99501640555839
94,0.5946277946114159,0.0461878634018508,0.0619113913684383,0.2600114650724757,0.0372614855458193,6.238,751.893,2.359,142.0,840.0,520.147,68.96922509617465,86.71372315678892
95,0.5904870500081447,0.0469946245316827,0.0607590812835966,0.2652712168105555,0.0364880273660205,6.238,740.334,2.358,144.0,847.0,515.263,70.31128067227513,86.9146428773045
96,0.5913217289914217,0.0477221620721245,0.0637128341800616,0.2605146997584742,0.0367285749979178,5.828,727.798,2.309,142.0,835.0,516.239,70.97418010753309,87.12000226704261
97,0.5944891489880517,0.0468178493050475,0.0633991709339185,0.2589612289685442,0.0363326018044379,6.051,735.124,2.311,144.0,826.0,512.332,70.75208752723167,87.77275138791519
98,0.5911695859229962,0.0456049721527161,0.0609411574784082,0.2671724917265315,0.0351117927193478,6.084,731.38,2.307,143.0,817.0,505.495,70.13563178757728,88.12000066184078
99,0.5949148358430019,0.0463260100386735,0.0627828519707068,0.2597712498971447,0.0362050522504731,6.19,732.031,2.308,143.0,808.0,506.471,71.26012785791276,87.8521445662326
101,0.5863934426229508,0.0467213114754098,0.0635245901639344,0.2662295081967213,0.0371311475409836,5.912,737.973,2.305,143.0,776.0,504.518,68.22229709458583,88.53664209023056
102,0.5914931685100845,0.047007156798959,0.0625406636304489,0.2622804163955758,0.0366785946649316,5.872,723.647,2.31,144.0,768.0,513.309,67.32966774387353,87.49500006613053
103,0.5906303654648025,0.0468481726759872,0.0609925598888071,0.2649006622516556,0.0366282397187474,5.93,746.683,2.361,147.0,771.0,517.216,67.84427886001707,86.60211754063398
104,0.5884101040118872,0.046310054482417,0.0637279181112762,0.2649001155687634,0.0366518078256562,5.963,753.358,2.35,147.0,782.0,512.332,68.64567075513582,86.73412938785657
105,0.5885530028214431,0.0452237001209189,0.0627972591696896,0.2668278919790407,0.0365981459089077,5.85,764.428,2.357,146.0,797.0,505.495,72.40011476455902,86.63973345827493
106,0.5929537074969274,0.0462925030725112,0.0639901679639491,0.2600573535436296,0.0367062679229823,5.795,747.009,2.359,148.0,816.0,538.706,72.07677669240631,87.81759522080665
108,0.5957603535766901,0.0470617122278605,0.0622851530528728,0.2591258798494025,0.035766901293174,5.725,746.52,2.359,147.0,821.0,510.379,64.6572522742777,87.04858751314121
109,0.5881343466535917,0.0467434828797908,0.0638228323935605,0.2656696902835662,0.0356296477894908,5.564,747.09,2.357,148.0,815.0,512.332,69.07401508416604,85.66806271134935
110,0.5909165169090018,0.0453357294559712,0.0619996732560039,0.2649076948211076,0.0368403855579153,5.795,750.916,2.358,149.0,809.0,505.495,68.05741213704516,86.24495285709632
111,0.5912503026878684,0.0465735733311808,0.0611833077730244,0.2646702720154976,0.0363225441924287,5.747,748.962,2.367,150.0,797.0,496.703,67.64118433292484,86.80749649629838
112,0.5846317861243234,0.0464162702968673,0.0632278169591602,0.2687387239626045,0.0369854026570444,5.634,732.845,2.365,150.0,784.0,507.448,63.69757719336967,88.43246896573972
114,0.5901940429609518,0.0467938992254252,0.0623652479437834,0.2648726343527908,0.0357741755170486,6.092,733.496,2.363,152.0,781.0,513.309,64.0686317416682,85.99499668260418
115,0.5899975643419664,0.0462775026386295,0.0630023544694324,0.2637817650401883,0.0369408135097832,5.762,734.961,2.361,151.0,783.0,524.054,67.09432773912481,85.88785924739527
116,0.5930853247926419,0.0471380471380471,0.0622485012728915,0.2613944321261394,0.03613369467028,5.67,733.333,2.35,151.0,778.0,531.868,62.74312974559405,87.807472691688
118,0.5913287836210357,0.0460056202328382,0.0620634283420313,0.265194700923324,0.0354074668807707,5.879,728.775,2.358,150.0,750.0,516.239,63.25756436987144,88.74494420874665
119,0.4892478546188794,0.0591620393740535,0.0775365976779404,0.3282180716809691,0.0458354366481575,6.095,721.368,2.36,151.0,732.0,503.541,66.63038017246171,88.23026320867162
121,0.587791216819547,0.0454582352463674,0.0629109505641691,0.2674730091728225,0.0363665881970939,6.029,743.427,2.356,149.0,730.0,510.379,68.0884793325553,87.93249708767782
122,0.5882830249918858,0.0477929243752028,0.0636968516715352,0.2636319376825706,0.0365952612788055,6.234,733.008,2.359,150.0,745.0,508.425,69.13607896934874,87.54934729312998
124,0.5876456686496618,0.0467769537934968,0.0625050933094287,0.2664819493113846,0.036590334936028,5.864,735.775,2.356,148.0,775.0,499.634,68.09788994985746,85.77626080186549
125,0.5844611120169575,0.0474482308821131,0.0619598891244089,0.2695255176911789,0.0366052502853416,5.597,744.322,2.348,148.0,786.0,492.796,71.56634713216589,85.57192837022743
126,0.5862799413394166,0.0468469936451034,0.0620009776763891,0.2690239530715333,0.0358481342675574,5.81,751.893,2.351,148.0,792.0,511.355,70.37188893675574,86.9146428773045
127,0.5862012320328542,0.0473921971252566,0.0618480492813141,0.2683367556468172,0.0362217659137577,5.593,748.881,2.356,147.0,792.0,512.332,68.35398414911414,87.31642986320433
128,0.5872608299511306,0.0464673237803362,0.0642756564234241,0.2649714238383169,0.037024766006792,5.733,760.765,2.354,147.0,799.0,527.961,67.53144214965167,86.8074965024383
129,0.5884800522150607,0.0465040385086073,0.0635555192950966,0.2657257077588317,0.0357346822224035,5.956,759.788,2.361,146.0,799.0,509.402,68.97463159049629,86.24499780945214
130,0.5846266949844797,0.0474595654304852,0.0633066492403202,0.2690736807711158,0.035533409573599,5.938,763.207,2.359,146.0,797.0,514.286,69.61874691439259,86.24499789909117
131,0.5830411740725642,0.0469629025682837,0.0640847941296371,0.2690582959641255,0.0368528332653893,6.0,747.334,2.355,146.0,807.0,533.822,69.43505721330494,86.69496843071722
