,Iron_ore_mix_ratio,coke_ratio,quick_lime,returning_sinter,light_burning,second_water,bed_depth,trolley_speed,flue_temp,ignition_temp,pressure_flue
373,0.6051106212752061,0.051432770022042607,0.06392358559882438,0.24181565842109556,0.037717364682831246,6.853,664.632,2.36,139.0,895.0,573.871
374,0.6056417717426447,0.050517297122534756,0.0648237956676366,0.24207888781118655,0.03693824765599742,6.308,702.076,2.358,140.0,897.0,557.265
375,0.6047488289452431,0.04966887417218543,0.06420610563721531,0.24503311258278143,0.036343078662574704,6.249,789.581,2.596,140.0,896.0,553.358
376,0.6020806241872563,0.050796488946684,0.06583224967490246,0.24382314694408322,0.037467490247074124,6.392,703.622,2.65,142.0,907.0,536.752
377,0.6050080775444265,0.04959612277867529,0.06462035541195477,0.24329563812600968,0.03747980613893377,6.055,670.818,2.354,141.0,939.0,550.427
378,0.6072497774900881,0.051136823367586376,0.06448741807589611,0.23950157779755643,0.03762440326887289,5.916,695.808,2.354,142.0,951.0,555.311
379,0.6084332501810574,0.050454655186287924,0.06260561680212441,0.24076607387140903,0.03774040395912127,6.462,716.158,2.349,141.0,892.0,563.126
380,0.6072644721906925,0.05042970650235123,0.06299659477866061,0.24168963839792446,0.037619588130371334,6.601,724.542,2.349,142.0,862.0,571.917
381,0.6110890143982182,0.0503539893405457,0.06403627396388513,0.2380081139129743,0.036512608384376734,6.733,733.171,2.358,142.0,870.0,567.033
382,0.6100183164768656,0.05104722465557061,0.06362984789360518,0.23883093095484595,0.03647368001911285,6.703,738.787,2.357,142.0,873.0,576.801
383,0.6171135646687697,0.049369085173501574,0.06356466876971609,0.23462145110410093,0.03533123028391167,6.788,739.927,2.351,142.0,865.0,581.685
384,0.601965206185567,0.05082152061855671,0.06523840206185567,0.24516752577319587,0.03680734536082474,6.553,734.147,2.353,142.0,859.0,591.453
385,0.6050671847175004,0.05188602881657763,0.06540391775943015,0.24000323781771088,0.037639630888780966,6.0,744.729,2.353,143.0,847.0,582.662
386,0.6047395664833387,0.04998382400517631,0.06462309932060821,0.24312520219993528,0.037528307990941444,6.363,741.229,2.353,141.0,837.0,577.778
387,0.6092315128081199,0.04994361205091027,0.06347671983244724,0.23932656677944258,0.03802158852908007,6.509,723.647,2.356,141.0,827.0,586.569
388,0.6070881997583568,0.05026178010471204,0.06379379782521144,0.24107933950865887,0.03777688280306081,6.744,715.181,2.351,140.0,824.0,603.175
389,0.6032299951306606,0.0505599740301899,0.06565492614835254,0.24298003570848886,0.037575068982308064,6.158,715.588,2.359,141.0,824.0,605.128
390,0.6,0.04955248169243288,0.06533767290480065,0.2480878763222132,0.0370219690805533,6.011,712.576,2.356,143.0,815.0,597.314
391,0.6076254826254828,0.05107786357786359,0.06491312741312744,0.23962355212355219,0.03675997425997427,6.223,726.577,2.354,143.0,802.0,613.919
392,0.6023082471748017,0.050252464534743926,0.06491945179129599,0.24557185220806285,0.03694798429109561,6.11,753.683,2.356,143.0,801.0,604.151
393,0.6089578642650371,0.04929237697008685,0.06384689610807333,0.2403505950466388,0.03755226761016404,5.835,774.033,2.357,142.0,801.0,610.989
394,0.6062966829973496,0.05059834551441652,0.06248494096859691,0.243032688137499,0.037587342382137984,5.766,737.566,2.359,143.0,797.0,611.966
395,0.601132557026639,0.05064603605040676,0.06300845429893126,0.2480459403413623,0.037167012282660714,6.048,727.391,2.409,143.0,796.0,640.293
396,0.6071853438020461,0.04956776905385043,0.06328812752795622,0.24308033944008245,0.03687842017606472,6.066,740.008,2.403,144.0,808.0,613.919
397,0.6015732706187656,0.05036087908523233,0.06471494607087827,0.24539777795799203,0.03795312626713162,5.978,739.845,2.402,142.0,822.0,629.548
398,0.6034043907095132,0.04987273305758829,0.06426980591791283,0.2459433662106268,0.036509704104358894,6.443,756.777,2.405,142.0,830.0,633.455
399,0.6011316544469238,0.04948995855913293,0.06423334395919669,0.24952183614918713,0.03562320688555946,6.198,745.055,2.398,145.0,835.0,625.641
400,0.601391888648908,0.04935605151587874,0.06295496360291178,0.24990000799936005,0.03639708823294137,6.264,751.648,2.402,145.0,844.0,621.734
401,0.6043415106520335,0.04962879276952872,0.06326662362814718,0.24483537766300836,0.03792769528728211,6.139,754.579,2.404,144.0,845.0,633.455
402,0.6045344129554655,0.05012145748987854,0.06421052631578947,0.24380566801619433,0.03732793522267206,6.176,767.684,2.405,146.0,840.0,641.27
403,0.6099038694563373,0.05024638500686646,0.06430244769367477,0.23830680992002584,0.03724048792309557,6.132,750.753,2.404,148.0,845.0,632.479
404,0.6004809619238477,0.05146292585170341,0.06452905811623248,0.24609218436873748,0.03743486973947896,5.912,748.718,2.406,146.0,850.0,625.641
