,0
233,82.94844
234,83.18017
235,83.46025
236,82.14247
237,82.19487
238,84.80087
239,83.44302
240,82.85586
241,83.12015
242,83.47097
243,82.04671
244,82.01994
245,84.65592
246,83.32616
247,82.65207
248,82.929535
249,83.26916
250,81.80328
251,81.74044
252,84.3456
253,82.857834
254,82.30894
255,82.624435
256,83.051834
257,81.5547
258,81.56069
259,84.4367
260,82.88716
261,82.35946
262,82.63226
263,83.057274
264,81.50608
265,81.46268
266,84.44977
267,82.84674
268,82.296165
269,82.63513
270,83.11789
271,81.55121
272,81.50032
273,84.234344
274,82.45149
275,81.90052
276,82.22437
277,82.76462
278,81.112
279,81.09882
280,84.02805
281,82.358505
282,81.878136
283,82.178345
284,82.66102
285,80.97102
286,81.09844
287,83.89813
288,82.19669
289,81.75594
290,82.084465
291,82.54559
292,80.77518
293,80.858574
294,83.72724
295,82.02322
296,81.58237
297,81.86077
298,82.30298
299,80.54466
300,80.52132
301,83.77852
302,82.05923
303,81.6539
304,81.90678
305,82.41006
306,80.66206
307,80.730774
308,83.40434
309,81.591934
310,81.13779
311,81.493164
312,82.04569
313,80.25189
314,80.25201
315,83.2516
316,81.44119
317,81.19675
318,81.4241
319,81.99603
320,80.1691
321,80.31846
322,83.420876
323,81.58724
324,81.19562
325,81.4479
326,82.07583
327,80.21326
328,80.24448
329,82.77736
330,80.972404
331,80.64079
332,80.94616
333,81.65875
334,79.7856
335,79.974785
336,82.84292
337,81.054535
338,80.77405
339,80.96652
340,81.575226
341,79.72732
342,79.823425
343,82.66615
344,80.80069
345,80.59145
346,80.83392
347,81.478386
348,79.59184
349,79.703865
350,82.665344
351,80.85274
352,80.638535
353,80.89758
354,81.641495
355,79.709724
356,79.72662
357,82.68909
358,80.77663
359,80.67187
360,80.89261
361,81.48812
362,79.45705
363,79.48591
364,82.32719
365,80.51468
366,80.359
367,80.60834
368,81.29587
369,79.407364
370,79.48458
371,82.55954
372,80.67234
373,80.506355
374,80.69638
375,81.321625
376,79.40102
377,79.392746
378,82.29142
379,80.394516
380,80.30437
381,80.30026
382,80.92451
383,79.08909
384,79.21032
385,81.95278
386,80.046555
387,79.9587
388,80.12834
389,80.79711
390,78.92
391,79.03179
392,81.99144
393,80.06863
394,80.11616
395,80.22307
396,80.833855
397,78.937515
398,78.998825
399,81.779915
400,79.88547
401,79.85674
402,79.968735
403,80.59757
404,78.64212
405,78.6868
406,81.87996
407,79.93765
408,79.95213
409,80.117836
410,80.70723
411,78.76189
412,78.854256
413,81.74273
414,79.82623
415,79.80084
416,79.9844
417,80.64701
418,78.67828
419,78.862755
420,81.92474
421,79.89499
422,79.84498
423,79.98398
424,80.51937
425,78.49738
426,78.556465
427,81.61943
428,79.62852
429,79.65411
430,79.88465
431,80.47723
432,78.53701
433,78.71095
434,81.28266
435,79.36519
436,79.427704
437,79.73591
438,80.39127
439,78.46436
440,78.749115
441,81.55331
442,79.58413
443,79.542
444,79.73255
445,80.3329
446,78.45993
447,78.53047
448,81.140434
449,79.15266
450,79.19347
451,79.34152
452,79.94217
453,77.967606
454,78.15282
455,81.179054
456,79.24184
457,79.27421
458,79.465744
459,80.062515
460,78.08365
461,78.23852
462,81.156334
463,79.21674
464,79.30226
465,79.586136
466,80.2262
467,78.18293
468,78.22195
469,81.31853
470,79.31063
471,79.392715
472,79.54235
473,80.10435
474,78.0981
475,78.105995
476,80.965324
477,79.0462
478,79.17767
479,79.49037
480,80.08488
481,78.10214
482,78.21352
483,81.16631
484,79.18147
485,79.197525
486,79.37367
487,79.91169
488,77.87644
489,77.92015
490,81.05819
491,79.07747
492,79.185486
493,79.36205
494,79.85811
495,77.886375
496,78.00837
497,80.5475
498,78.609695
499,78.75844
500,79.02158
501,79.60326
502,77.6426
503,77.70576
504,80.80001
505,78.873474
506,78.96396
507,79.24748
508,79.77885
509,77.84457
510,77.812065
511,80.6143
512,78.74015
513,78.738976
514,79.03034
515,79.40513
516,77.40503
517,77.56697
518,80.52104
519,78.48092
520,78.51308
521,78.69325
522,79.208786
523,77.25316
524,77.33771
525,80.454285
526,78.57044
527,78.69088
528,78.84408
529,79.449684
530,77.44767
531,77.376915
532,80.35568
533,78.460754
534,78.611275
535,78.80968
536,79.357414
537,77.42122
538,77.44596
539,80.60808
540,78.648544
541,78.75145
542,79.04173
543,79.48426
544,77.52906
545,77.600204
546,80.18673
547,78.13984
548,78.276924
549,78.52912
550,79.018234
551,77.112755
552,77.12835
553,80.250534
554,78.18413
555,78.29875
556,78.59168
557,79.046524
558,77.139275
559,77.23969
560,80.27297
561,78.337845
562,78.50363
563,78.69881
564,79.185074
565,77.288376
566,77.23477
567,80.01957
568,78.03675
569,78.2042
570,78.492714
571,78.939575
572,76.98374
573,76.91897
574,80.10513
575,78.081215
576,78.19529
577,78.43643
578,78.89423
579,76.86793
580,76.79479
581,80.06083
582,78.04169
583,78.17494
584,78.49036
585,78.881004
586,76.91755
587,76.89956
588,79.8282
589,77.865974
590,78.02772
591,78.380905
592,78.75267
593,76.749306
594,76.71345
595,80.000305
596,78.051346
597,78.16561
598,78.45722
599,78.81059
600,76.849815
601,76.77944
602,79.69186
603,77.70183
604,77.842865
605,78.10025
606,78.45398
607,76.521736
608,76.42876
609,79.51386
610,77.529366
611,77.718
612,77.989174
613,78.40371
614,76.40574
615,76.3144
616,79.57392
617,77.57284
618,77.751465
619,78.06369
620,78.511345
621,76.53552
622,76.45403
623,79.43918
624,77.46128
625,77.63096
626,77.9828
627,78.478806
628,76.560074
629,76.48062
630,79.52297
631,77.48522
632,77.67107
633,77.95454
634,78.29663
635,76.3077
636,76.16474
637,79.36797
638,77.36261
639,77.4896
640,77.81174
641,78.263916
642,76.35217
643,76.20104
644,79.182076
645,77.19203
646,77.37081
647,77.72245
648,78.00335
649,76.00319
650,75.9236
651,79.38415
652,77.390625
653,77.575516
654,77.88808
655,78.28643
656,76.30199
657,76.15312
658,79.371666
659,77.37044
660,77.53858
661,77.94761
662,78.309685
663,76.36218
664,76.2185
665,79.35703
666,77.395424
667,77.56563
