,index,others,海通期货,国泰君安,中信期货,东证期货,银河期货,兴证期货,广发期货,华泰期货,方正中期,申万期货,国投安信,国信期货,上海中期,徽商期货,光大期货,新湖期货,永安期货,宏源期货,中信建投,南华期货,金瑞期货,中融汇信,东方财富,长江期货,平安期货,国富期货,西部期货,瑞达期货,华闻期货,鲁证期货,招金期货,中银国际,浙商期货,中辉期货,华鑫期货,铜冠金源,招商期货,同信久恒,华安期货,齐盛期货,经易期货,弘业期货,五矿经易,宝城期货,建信期货,五矿期货,瑞龙期货,东航期货,中证期货,roll_yield,spot_price,near_contract_price,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,label
444,445,175778.0,0.0,6545.0,9236.0,4701.0,7940.0,9773.0,5043.0,0.0,5079.0,7938.0,0.0,0.0,0.0,5804.0,4592.0,4286.0,0.0,0.0,0.0,0.0,0.0,22008.0,0.0,16889.0,0.0,0.0,0.0,3846.0,0.0,0.0,0.0,0.0,0.0,0.0,12019.0,0.0,5336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14700.0,0.0,0.0,0.0,-0.01868499706122677,238.3,238.3,241.0,0.0,2.6999999999999886,0.0,0.011330255979857373,0.1037344398340249
445,446,207795.0,6728.0,7908.0,10264.0,5473.0,7424.0,12300.0,6857.0,0.0,4653.0,10597.0,0.0,0.0,0.0,5068.0,0.0,5726.0,5464.0,0.0,0.0,0.0,0.0,33017.0,0.0,11403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12020.0,0.0,5376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12464.0,0.0,0.0,0.0,-0.013623499211532459,238.3,236.05,238.55,-2.25,0.25,-0.00944187998321444,0.0010490977759127773,-1.0270383567386245
446,447,117368.0,5074.0,5313.0,9279.0,5928.0,6865.0,8814.0,4197.0,0.0,0.0,6641.0,0.0,0.0,3121.0,3046.0,2835.0,4620.0,3762.0,2711.0,0.0,0.0,0.0,19326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4021.0,0.0,2781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7894.0,0.0,0.0,0.0,-0.0182164062400217,238.3,238.1,239.65,-0.20000000000001705,1.3499999999999943,-0.0008392782207302663,0.005665127989928687,0.45900271228875206
447,448,322970.0,0.0,15452.0,15940.0,11085.0,17401.0,20894.0,17372.0,0.0,13932.0,16165.0,0.0,0.0,0.0,9708.0,9828.0,18039.0,0.0,0.0,0.0,0.0,0.0,43322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18383.0,0.0,10569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17866.0,0.0,0.0,0.0,-0.02265355046623852,245.1,243.15,246.75,-1.9499999999999886,1.6500000000000057,-0.00795593635250913,0.006731946144430845,2.8774062816615986
448,449,193127.0,5730.0,6686.0,9843.0,10677.0,8118.0,10961.0,8509.0,0.0,6136.0,8208.0,0.0,0.0,4531.0,4971.0,4568.0,5325.0,0.0,0.0,0.0,0.0,0.0,36636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11967.0,0.0,5030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12715.0,0.0,0.0,0.0,-0.021453214252899554,244.3,241.15,246.65,-3.1500000000000057,2.3499999999999943,-0.012893982808022897,0.009619320507572526,-0.040543279951345754
449,450,157670.0,0.0,5829.0,9180.0,8668.0,6100.0,8236.0,4882.0,0.0,5314.0,7105.0,0.0,0.0,4337.0,0.0,4311.0,4132.0,5311.0,0.0,0.0,0.0,0.0,23785.0,0.0,17036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11534.0,0.0,0.0,0.0,-0.013538111736205748,244.04,240.15,245.15,-3.8899999999999864,1.1100000000000136,-0.015940009834453317,0.004548434682838831,-0.611870283499898
450,451,188495.0,5653.0,6522.0,9875.0,5440.0,6801.0,9551.0,8766.0,0.0,4562.0,9889.0,0.0,0.0,0.0,4751.0,4282.0,0.0,3875.0,0.0,0.0,0.0,0.0,34887.0,0.0,12278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12033.0,0.0,4684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13727.0,0.0,0.0,0.0,-0.013063784251543874,242.9,240.05,245.1,-2.8499999999999943,2.1999999999999886,-0.011733223548785476,0.009057225195553631,-0.020399836801310228
451,452,183710.0,4240.0,5933.0,9476.0,12404.0,6484.0,11148.0,5594.0,0.0,3914.0,8864.0,0.0,0.0,3859.0,4296.0,4301.0,4946.0,4913.0,0.0,0.0,0.0,0.0,31892.0,0.0,12331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12191.0,0.0,0.0,0.0,-0.025505596866092106,238.45,240.2,242.3,1.75,3.8500000000000227,0.007339064793457695,0.016145942545607195,-1.1555922410235175
452,453,303703.0,0.0,7463.0,14216.0,14280.0,10281.0,14815.0,14028.0,0.0,0.0,16468.0,0.0,0.0,6392.0,6948.0,13183.0,10294.0,8058.0,0.0,0.0,0.0,0.0,57690.0,0.0,21270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15468.0,0.0,0.0,0.0,-0.020936045559660665,239.05,239.8,241.25,0.75,2.1999999999999886,0.0031374189500104066,0.009203095586697296,-0.43523316062176637
453,454,185482.0,4693.0,7012.0,8404.0,14364.0,5143.0,9528.0,4383.0,0.0,3807.0,8934.0,0.0,0.0,4520.0,0.0,5699.0,5570.0,0.0,0.0,0.0,0.0,0.0,31781.0,0.0,6909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4518.0,0.0,11660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12631.0,0.0,0.0,0.0,-0.020251687829191574,240.3,238.5,240.45,-1.8000000000000114,0.14999999999997726,-0.0074906367041198685,0.0006242197253432114,-0.33270950301518465
